SchoolName,Graduate,Dropout,All Students,Male,White,English Language Learners,Low-Income,Expenditure,DisciplineInt,Male.p,White.p,ELL.p,Low-Income.p
Harbor High School,14.0,9.0,51,22,30,8,40,1760238.6,4_to_7,43.13725490196079,58.82352941176471,15.686274509803921,78.43137254901961
J M Weatherwax High School,161.0,10.0,222,126,126,17,111,14207768.8,4_to_7,56.75675675675676,56.75675675675676,7.657657657657657,50.0
Anacortes High School,161.0,3.0,175,91,143,5,37,11196179.6,below_2,52.0,81.71428571428572,2.857142857142857,21.142857142857142
Cap Sante High School,15.0,11.0,43,26,34,0,22,690262.4,4_to_7,60.46511627906976,79.06976744186046,0.0,51.162790697674424
Arlington High School,365.0,17.0,415,228,325,9,123,21170675.6,2_to_4,54.93975903614457,78.3132530120482,2.1686746987951806,29.63855421686747
Arlington Special Educ School,0.0,0.0,1,1,1,0,0,1252405.6,,100.0,100.0,0.0,0.0
Weston High School,20.0,2.0,55,30,44,4,27,2842139.6,2_to_4,54.54545454545454,80.0,7.2727272727272725,49.09090909090909
Asotin Jr Sr High,58.0,2.0,61,27,51,0,15,4281702.0,7_10,44.26229508196721,83.60655737704919,0.0,24.59016393442623
Auburn Mountainview High School,337.0,26.0,378,173,180,40,169,21179070.9,4_to_7,45.767195767195766,47.61904761904761,10.582010582010582,44.70899470899471
Auburn Riverside High School,319.0,19.0,346,164,166,32,133,21275147.4,4_to_7,47.398843930635834,47.97687861271676,9.248554913294797,38.4393063583815
Auburn Senior High School,320.0,54.0,393,192,135,47,241,25132901.2,4_to_7,48.854961832061065,34.35114503816794,11.959287531806616,61.32315521628499
West Auburn Senior High School,24.0,58.0,77,39,26,11,50,4580593.6,7_10,50.649350649350644,33.76623376623377,14.285714285714285,64.93506493506493
Bainbridge High School,272.0,8.0,285,146,225,1,17,16146658.9,below_2,51.2280701754386,78.94736842105263,0.3508771929824561,5.964912280701754
Eagle Harbor High School,29.0,4.0,32,20,26,0,1,1855016.2,7_10,62.5,81.25,0.0,3.125
Battle Ground High School,397.0,43.0,512,287,443,22,125,25229748.5,4_to_7,56.0546875,86.5234375,4.296875,24.4140625
Homelink River,73.0,19.0,82,35,70,1,29,10052255.9,2_to_4,42.68292682926829,85.36585365853658,1.2195121951219512,35.36585365853659
