,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineRate,Expenditure
0,Grays Harbor,14005.0,Aberdeen School District,3857.0,Harbor High School,P,12th Grade,51,29,0,22,3,0,0,15,1,2,30,8,0,0,19,40,0,1,9,4,9,43,50,51,32,11,51,41.0,2.0,,,2.0,7.0,1.0,42.0,14.0,19.0,9.0,0.3333,5.10%,1760238.6
1,Grays Harbor,14005.0,Aberdeen School District,3476.0,J M Weatherwax High School,P,12th Grade,222,96,0,126,4,9,2,64,0,17,126,17,0,14,12,111,3,1,14,10,41,205,221,208,210,111,219,193.0,27.0,3.0,2.0,2.0,3.0,24.0,196.0,161.0,25.0,10.0,0.8214,4.50%,14207768.8
2,Skagit,29103.0,Anacortes School District,2467.0,Anacortes High School,P,12th Grade,175,84,0,91,1,9,1,18,0,3,143,5,0,0,0,37,0,14,3,6,18,170,175,175,175,138,175,167.0,26.0,,,1.0,2.0,25.0,168.0,161.0,4.0,3.0,0.9583,<2%,11196179.6
3,Skagit,29103.0,Anacortes School District,5176.0,Cap Sante High School,A,12th Grade,43,17,0,26,0,0,0,7,0,2,34,0,0,0,0,22,0,1,8,6,2,43,43,43,43,21,43,41.0,5.0,,,1.0,10.0,7.0,39.0,15.0,13.0,11.0,0.3846,<5%,690262.4
4,Snohomish,31016.0,Arlington School District,2523.0,Arlington High School,P,12th Grade,415,187,0,228,5,7,3,56,3,16,325,9,0,13,21,123,3,2,14,26,40,406,413,402,394,292,412,399.0,26.0,1.0,,4.0,12.0,36.0,389.0,365.0,7.0,17.0,0.9383,2.10%,21170675.6
5,Snohomish,31016.0,Arlington School District,2277.0,Arlington Special Educ School,P,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,Suppressed: N<10,1252405.6
6,Snohomish,31016.0,Arlington School District,4287.0,Weston High School,A,12th Grade,55,25,0,30,1,1,1,6,0,2,44,4,0,1,6,27,1,1,14,4,9,51,55,54,49,28,54,38.0,7.0,,,1.0,1.0,9.0,36.0,20.0,14.0,2.0,0.5556,<4%,2842139.6
7,Asotin,2420.0,Asotin-Anatone School District,2434.0,Asotin Jr Sr High,P,12th Grade,61,34,0,27,0,1,0,6,0,3,51,0,0,3,2,15,0,0,0,1,0,61,60,58,59,46,61,60.0,9.0,,,1.0,1.0,6.0,63.0,58.0,3.0,2.0,0.9206,9.70%,4281702.0
8,King,17408.0,Auburn School District,5037.0,Auburn Mountainview High School,P,12th Grade,378,205,0,173,2,51,48,65,2,30,180,40,0,15,7,169,0,2,16,17,33,338,378,363,371,209,378,366.0,48.0,,2.0,7.0,17.0,46.0,368.0,337.0,5.0,26.0,0.9158,4.50%,21179070.9
9,King,17408.0,Auburn School District,4474.0,Auburn Riverside High School,P,12th Grade,346,182,0,164,2,36,18,96,13,15,166,32,0,22,2,133,0,6,10,8,28,314,345,324,344,213,346,349.0,50.0,,1.0,4.0,14.0,53.0,346.0,319.0,8.0,19.0,0.922,4.30%,21275147.4
10,King,17408.0,Auburn School District,2795.0,Auburn Senior High School,P,12th Grade,393,201,0,192,5,40,29,138,25,21,135,47,0,3,8,241,1,6,36,24,55,346,392,390,385,152,392,393.0,65.0,4.0,6.0,8.0,36.0,55.0,403.0,320.0,29.0,54.0,0.794,4.60%,25132901.2
11,King,17408.0,Auburn School District,2702.0,West Auburn Senior High School,A,12th Grade,77,38,0,39,2,5,8,24,9,3,26,11,0,0,5,50,0,0,30,4,12,66,76,77,72,27,77,99.0,13.0,,4.0,23.0,31.0,12.0,100.0,24.0,18.0,58.0,0.24,7.50%,4580593.6
12,Kitsap,18303.0,Bainbridge Island School District,2395.0,Bainbridge High School,P,12th Grade,285,138,1,146,4,12,0,20,0,24,225,1,0,49,0,17,0,4,4,57,10,284,285,236,285,268,285,284.0,38.0,,,3.0,5.0,36.0,286.0,272.0,6.0,8.0,0.951,2.00%,16146658.9
13,Kitsap,18303.0,Bainbridge Island School District,1935.0,Eagle Harbor High School,A,12th Grade,32,12,0,20,0,3,0,2,0,1,26,0,0,1,0,1,0,0,0,7,5,32,32,31,32,31,32,39.0,1.0,,,1.0,3.0,3.0,37.0,29.0,4.0,4.0,0.7838,<9%,1855016.2
14,Clark,6119.0,Battle Ground School District,2415.0,Battle Ground High School,P,12th Grade,512,225,0,287,2,8,2,36,2,19,443,22,0,17,17,125,0,5,27,19,84,490,511,495,495,387,512,457.0,62.0,1.0,6.0,14.0,22.0,68.0,451.0,397.0,11.0,43.0,0.8803,4.40%,25229748.5
15,Clark,6119.0,Battle Ground School District,1875.0,Homelink River,A,12th Grade,82,47,0,35,0,1,0,9,0,2,70,1,0,0,5,29,0,0,1,10,7,81,82,82,77,53,82,94.0,14.0,1.0,1.0,3.0,14.0,16.0,92.0,73.0,0.0,19.0,0.7935,<3%,10052255.9
16,Clark,6119.0,Battle Ground School District,4104.0,Prairie High School,P,12th Grade,371,178,0,193,4,19,2,53,0,16,277,22,0,13,16,110,0,3,8,14,49,349,369,358,355,261,371,328.0,73.0,2.0,,8.0,22.0,56.0,345.0,299.0,14.0,32.0,0.8667,3.50%,19674086.9
17,Clark,6119.0,Battle Ground School District,4450.0,Summit View High School,A,12th Grade,220,123,0,97,4,2,0,22,1,13,178,6,0,0,29,108,0,1,48,10,21,214,219,220,191,112,220,165.0,23.0,,3.0,23.0,51.0,9.0,179.0,50.0,52.0,77.0,0.2793,<1%,4284860.4
18,King,17405.0,Bellevue School District,2701.0,Bellevue High School,P,12th Grade,453,212,0,241,2,147,11,37,0,37,219,24,0,3,3,63,0,1,13,66,31,429,452,450,450,390,453,413.0,90.0,4.0,10.0,3.0,5.0,67.0,436.0,403.0,11.0,22.0,0.9243,<1%,22307107.1
19,King,17405.0,Bellevue School District,3588.0,Interlake Senior High School,P,12th Grade,397,186,1,210,1,140,19,68,1,29,139,35,0,73,5,99,0,0,11,40,38,362,397,324,392,298,397,377.0,59.0,4.0,3.0,2.0,13.0,45.0,391.0,359.0,10.0,22.0,0.9182,<1%,26948197.3
20,King,17405.0,Bellevue School District,3486.0,Newport Senior High School,P,12th Grade,428,195,0,233,1,229,14,34,1,23,126,23,0,8,4,66,0,1,6,36,35,405,428,420,424,362,428,400.0,55.0,,1.0,2.0,1.0,35.0,420.0,404.0,12.0,4.0,0.9619,<1%,25057708.3
21,King,17405.0,Bellevue School District,3282.0,Sammamish Senior High,P,12th Grade,293,141,1,151,1,66,20,48,1,23,134,26,0,1,13,99,0,0,14,36,38,267,292,292,280,194,293,256.0,54.0,,1.0,7.0,12.0,30.0,280.0,257.0,3.0,20.0,0.9179,<1%,18557946.2
22,Whatcom,37501.0,Bellingham School District,2553.0,Bellingham High School,P,12th Grade,243,119,0,124,4,14,2,43,1,15,164,10,0,17,13,72,1,1,13,25,19,233,242,226,230,171,242,231.0,36.0,,,7.0,3.0,20.0,247.0,220.0,17.0,10.0,0.8907,<1%,14254047.0
23,Whatcom,37501.0,Bellingham School District,1647.0,Options High School,A,12th Grade,51,33,0,18,2,0,3,11,0,7,28,1,0,0,11,36,0,0,6,9,9,50,50,51,40,15,51,56.0,5.0,,2.0,1.0,3.0,6.0,55.0,39.0,10.0,6.0,0.7091,<5%,3316090.2
24,Whatcom,37501.0,Bellingham School District,3576.0,Sehome High School,P,12th Grade,305,146,0,159,3,18,8,30,0,16,230,5,0,44,9,73,2,0,7,26,28,300,303,261,296,232,303,294.0,33.0,,,1.0,6.0,35.0,292.0,268.0,17.0,7.0,0.9178,<1%,14971434.4
25,Whatcom,37501.0,Bellingham School District,4515.0,Squalicum High School,P,12th Grade,311,162,0,149,3,37,5,74,1,22,169,15,0,15,14,119,6,0,19,26,27,296,310,296,297,192,305,286.0,37.0,2.0,2.0,9.0,14.0,20.0,303.0,257.0,19.0,27.0,0.8482,2.20%,15966148.4
26,Pierce,27403.0,Bethel School District,5372.0,Acceleration Academy,R,12th Grade,184,79,0,105,6,6,19,26,3,8,116,7,0,0,8,70,0,0,51,6,24,177,184,184,176,114,184,158.0,13.0,,3.0,19.0,51.0,84.0,87.0,4.0,10.0,73.0,0.046,<1%,563368.4
27,Pierce,27403.0,Bethel School District,2807.0,Bethel High School,P,12th Grade,405,200,0,205,5,17,27,65,17,34,240,7,0,37,14,157,0,26,16,4,51,398,404,368,391,248,405,393.0,59.0,4.0,1.0,4.0,15.0,68.0,384.0,352.0,8.0,24.0,0.9167,4.90%,21157775.7
28,Pierce,27403.0,Bethel School District,1510.0,Challenger High School,A,12th Grade,148,77,0,71,1,2,12,36,4,16,77,2,0,0,29,101,0,1,27,11,26,146,147,148,119,47,148,122.0,12.0,,1.0,1.0,15.0,14.0,120.0,82.0,21.0,17.0,0.6833,2.30%,4397801.0
29,Pierce,27403.0,Bethel School District,5033.0,Graham Kapowsin High School,P,12th Grade,425,206,0,219,3,13,30,71,4,51,253,16,0,36,16,141,0,24,20,18,51,409,423,389,409,284,425,435.0,70.0,1.0,3.0,10.0,19.0,72.0,433.0,379.0,21.0,33.0,0.8753,3.30%,22450848.6
30,Pierce,27403.0,Bethel School District,4158.0,Spanaway Lake High School,P,12th Grade,324,167,0,157,4,28,49,56,19,36,132,13,0,10,9,160,0,9,20,8,51,311,323,314,315,164,324,339.0,64.0,3.0,1.0,6.0,12.0,91.0,312.0,276.0,14.0,22.0,0.8846,3.50%,19608030.3
31,Whatcom,37503.0,Blaine School District,3136.0,Blaine High School,P,12th Grade,162,67,0,95,1,4,0,24,3,11,119,3,0,15,3,63,0,2,9,12,23,159,160,147,159,99,162,140.0,39.0,1.0,5.0,6.0,4.0,40.0,139.0,118.0,5.0,16.0,0.8489,<2%,9782898.7
32,Kitsap,18100.0,Bremerton School District,3109.0,Bremerton High School,P,12th Grade,262,123,0,139,1,22,8,50,7,37,137,10,0,4,13,146,1,16,20,13,34,252,262,258,249,116,261,248.0,60.0,2.0,4.0,10.0,24.0,33.0,275.0,217.0,18.0,40.0,0.7891,4.20%,18068931.8
33,Kitsap,18100.0,Bremerton School District,1737.0,Renaissance Alternative High School,A,12th Grade,37,22,0,15,1,0,1,6,2,11,16,0,0,0,9,22,0,2,12,4,4,37,35,37,28,15,37,47.0,2.0,,2.0,5.0,10.0,2.0,47.0,18.0,12.0,17.0,0.383,<5%,2050084.3
34,Douglas,9075.0,Bridgeport School District,2788.0,Bridgeport High School,P,12th Grade,62,18,0,44,0,0,0,60,0,0,2,24,0,2,5,58,9,0,4,2,12,38,62,60,57,4,53,53.0,8.0,1.0,1.0,,1.0,3.0,58.0,53.0,2.0,3.0,0.9138,<5%,3995276.5
35,Skagit,29100.0,Burlington-Edison School District,1928.0,Burlington-Edison Alternative School,A,12th Grade,29,17,0,12,1,0,1,16,0,0,11,5,0,0,6,18,3,0,5,1,0,24,28,29,23,11,26,24.0,3.0,,2.0,2.0,4.0,2.0,25.0,15.0,2.0,8.0,0.6,<8%,1029873.4
36,Skagit,29100.0,Burlington-Edison School District,2362.0,Burlington Edison High School,P,12th Grade,251,126,0,125,1,5,5,88,0,6,146,31,0,43,11,104,4,0,12,5,42,220,250,208,240,147,247,256.0,33.0,2.0,4.0,6.0,14.0,30.0,259.0,228.0,5.0,26.0,0.8803,2.80%,16082247.5
37,Clark,6117.0,Camas School District,4567.0,Camas High School,P,12th Grade,567,294,0,273,0,54,5,43,1,37,427,2,0,2,10,63,0,1,14,39,60,565,567,565,557,504,567,533.0,63.0,2.0,3.0,2.0,13.0,57.0,539.0,501.0,18.0,20.0,0.9295,<1%,25212612.2
38,Clark,6117.0,Camas School District,5104.0,Hayes Freedom High School,P,12th Grade,46,20,0,26,0,1,0,4,0,3,38,0,0,0,3,21,0,0,7,7,7,46,46,46,43,25,46,43.0,12.0,,1.0,1.0,4.0,12.0,43.0,32.0,5.0,6.0,0.7442,<6%,2235574.7
39,Chelan,4228.0,Cascade School District,3564.0,Cascade High School,P,12th Grade,94,47,0,47,1,1,1,28,0,0,63,2,0,0,5,44,6,0,4,5,9,92,94,94,89,50,88,93.0,21.0,,1.0,,7.0,20.0,94.0,83.0,3.0,8.0,0.883,3.80%,5883500.0
40,Chelan,4222.0,CASHMERE SCHOOL DISTRICT,3268.0,CASHMERE HIGH SCHOOL,P,12th Grade,117,62,0,55,0,0,0,41,0,3,73,6,0,0,2,50,7,0,9,2,7,111,116,117,115,67,110,115.0,9.0,,,2.0,4.0,12.0,112.0,105.0,1.0,6.0,0.9375,<3%,6037801.1
41,Cowlitz,8401.0,Castle Rock School District,2281.0,Castle Rock High School,P,12th Grade,110,56,0,54,1,1,0,14,0,6,88,5,0,0,3,55,0,6,5,11,14,105,110,110,107,55,110,101.0,14.0,1.0,,1.0,6.0,10.0,105.0,87.0,10.0,8.0,0.8286,3.40%,5495099.0
42,Kitsap,18401.0,Central Kitsap School District,5472.0,Barker Creek Community School,A,12th Grade,136,54,0,82,0,0,3,17,1,21,94,0,0,3,0,59,0,12,36,15,21,136,135,133,136,77,136,102.0,20.0,,,,16.0,13.0,109.0,70.0,23.0,16.0,0.6422,2.60%,5540494.8
43,Kitsap,18401.0,Central Kitsap School District,2615.0,Central Kitsap High School,P,12th Grade,353,174,0,179,0,40,14,52,3,58,186,2,0,0,1,91,0,65,11,13,43,351,353,353,352,262,353,320.0,88.0,,,3.0,5.0,84.0,324.0,297.0,19.0,8.0,0.9167,1.60%,20191104.6
44,Kitsap,18401.0,Central Kitsap School District,4509.0,Klahowya Secondary,P,12th Grade,160,82,0,78,0,3,0,17,0,17,123,2,0,0,0,45,0,11,4,7,20,158,158,160,160,115,160,146.0,24.0,1.0,3.0,1.0,2.0,22.0,148.0,135.0,6.0,7.0,0.9122,<2%,16258616.5
